"CURRENT.BUILDING.EVAL.SCORE","PROPERTY.TYPE","YEAR.BUILT","CONFIRMED.UNITS","CONFIRMED.STOREYS","BUILDING.CLEANLINESS","BUILDING.EXTERIOR","COMMON.AREA.PESTS"
93,"PRIVATE",1966,90,7,3,2,3
94,"PRIVATE",2018,369,31,2,3,3
93,"PRIVATE",1940,14,3,3,2,3
94,"PRIVATE",1940,14,3,3,2,3
91,"TCHC",1979,180,7,3,2,2
94,"TCHC",1979,180,7,1,2,3
73,"TCHC",1992,26,4,2,1,3
91,"PRIVATE",1958,42,4,3,2,3
87,"SOCIAL HOUSING",1996,132,11,2,2,3
95,"SOCIAL HOUSING",1996,132,11,3,3,3
87,"PRIVATE",1958,22,4,3,2,3
74,"PRIVATE",1955,47,4,3,2,3
90,"PRIVATE",1955,47,4,3,2,3
92,"PRIVATE",1957,28,3,3,3,3
95,"PRIVATE",1957,28,3,3,3,3
96,"PRIVATE",1960,45,4,3,3,3
95,"PRIVATE",1960,45,4,3,3,3
82,"PRIVATE",1959,187,9,2,2,3
95,"PRIVATE",1959,187,9,3,2,3
95,"PRIVATE",1961,71,6,3,3,3
95,"PRIVATE",1961,93,9,3,2,3
73,"SOCIAL HOUSING",1992,89,7,1,1,3
74,"PRIVATE",1957,22,3,3,1,2
69,"PRIVATE",1955,11,3,2,1,3
83,"PRIVATE",1958,10,3,1,3,3
84,"PRIVATE",2002,15,3,3,2,3
82,"PRIVATE",1957,47,4,3,1,3
78,"PRIVATE",1957,47,4,3,2,3
84,"PRIVATE",1957,47,4,3,2,3
67,"PRIVATE",1954,17,3,2,2,3
75,"PRIVATE",1950,12,3,2,1,3
79,"PRIVATE",1950,12,3,3,2,3
81,"PRIVATE",1960,11,3,2,2,3
92,"SOCIAL HOUSING",1954,12,3,3,2,3
97,"SOCIAL HOUSING",1954,12,3,3,3,3
89,"PRIVATE",1958,11,3,3,3,3
99,"PRIVATE",1958,11,3,3,3,3
83,"PRIVATE",1953,12,3,3,2,3
82,"PRIVATE",1950,10,3,3,3,3
92,"PRIVATE",1950,10,3,3,3,3
83,"PRIVATE",1954,12,3,3,2,3
69,"PRIVATE",1950,12,3,2,2,3
96,"PRIVATE",1950,12,3,3,3,3
86,"PRIVATE",1950,10,3,3,3,3
89,"PRIVATE",1950,10,3,3,3,3
82,"PRIVATE",1960,12,3,3,3,3
90,"PRIVATE",1960,12,3,3,3,3
84,"PRIVATE",1950,12,3,2,2,3
88,"PRIVATE",1950,12,3,3,3,3
86,"PRIVATE",1958,34,3,3,2,3
83,"PRIVATE",1967,57,8,3,1,3
85,"PRIVATE",1977,95,12,2,3,3
86,"PRIVATE",1977,95,12,3,2,3
79,"PRIVATE",1955,12,3,3,2,3
84,"PRIVATE",1955,12,3,3,2,3
83,"PRIVATE",1955,12,3,3,2,3
83,"PRIVATE",1955,12,3,3,2,3
94,"PRIVATE",1954,29,4,3,2,3
74,"PRIVATE",1958,26,4,3,2,3
93,"PRIVATE",1958,26,4,3,3,3
80,"PRIVATE",1958,23,3,3,2,3
83,"PRIVATE",1955,39,4,3,2,3
90,"PRIVATE",1950,12,3,3,3,3
88,"PRIVATE",1950,12,3,2,3,3
78,"PRIVATE",1956,11,3,3,2,3
91,"PRIVATE",1956,11,3,3,2,3
95,"PRIVATE",1955,11,3,3,3,3
68,"PRIVATE",1984,11,3,2,3,3
91,"PRIVATE",1984,11,3,3,3,3
90,"PRIVATE",1954,11,3,3,3,3
91,"PRIVATE",1954,11,3,3,3,3
96,"PRIVATE",1965,11,3,3,3,3
98,"PRIVATE",1965,11,3,3,3,3
85,"PRIVATE",1954,11,3,3,2,3
87,"PRIVATE",1968,10,3,2,1,3
93,"PRIVATE",1958,12,3,3,2,3
82,"PRIVATE",1953,11,3,3,2,3
83,"PRIVATE",1955,21,3,3,2,3
88,"PRIVATE",1955,21,3,3,2,3
91,"PRIVATE",1955,21,3,3,3,3
84,"PRIVATE",1953,21,3,2,2,3
91,"PRIVATE",1960,33,3,2,3,3
87,"PRIVATE",1965,27,4,3,2,3
90,"PRIVATE",1962,41,4,3,1,3
94,"PRIVATE",1962,41,4,2,2,3
93,"PRIVATE",1950,54,4,3,2,3
94,"PRIVATE",1950,54,4,3,2,3
80,"PRIVATE",1955,12,3,3,2,3
91,"PRIVATE",1955,12,3,3,2,3
50,"PRIVATE",1972,11,3,1,1,3
74,"PRIVATE",1972,11,3,2,2,3
65,"PRIVATE",1957,12,3,1,1,3
72,"PRIVATE",1957,12,3,2,2,3
87,"PRIVATE",1963,12,3,2,2,3
86,"PRIVATE",1963,12,3,3,3,3
89,"PRIVATE",1945,11,3,3,3,3
88,"PRIVATE",1955,11,3,3,2,3
80,"PRIVATE",1969,11,3,3,3,2
67,"PRIVATE",1960,11,3,3,1,3
82,"PRIVATE",1960,11,3,3,2,3
77,"PRIVATE",1955,11,3,2,2,3
77,"PRIVATE",1959,30,3,2,1,2
58,"PRIVATE",1950,11,3,1,2,1
50,"PRIVATE",1968,12,3,1,1,3
71,"PRIVATE",1968,12,3,2,2,3
80,"PRIVATE",1954,12,3,3,2,3
88,"PRIVATE",1954,12,3,3,3,3
92,"PRIVATE",1960,11,3,3,2,3
92,"PRIVATE",1960,11,3,3,2,3
75,"PRIVATE",1965,41,4,2,2,3
84,"PRIVATE",1965,41,4,2,1,3
84,"PRIVATE",1954,11,3,3,2,3
76,"PRIVATE",1952,11,3,2,2,3
84,"PRIVATE",1952,11,3,3,2,3
77,"PRIVATE",1954,12,4,3,2,3
87,"PRIVATE",1954,12,4,3,2,3
71,"PRIVATE",1955,31,4,1,2,3
85,"PRIVATE",1959,39,3,3,2,3
80,"PRIVATE",1963,59,4,3,1,3
89,"PRIVATE",1965,258,11,3,3,3
94,"PRIVATE",1965,258,11,3,3,3
85,"PRIVATE",1967,141,9,3,2,3
91,"PRIVATE",1967,61,9,3,2,3
81,"SOCIAL HOUSING",1994,59,4,3,2,3
86,"SOCIAL HOUSING",1994,59,4,3,3,3
81,"TCHC",1970,238,3,2,1,3
98,"TCHC",1970,238,3,3,3,3
77,"PRIVATE",1962,57,3,3,3,3
93,"PRIVATE",1962,57,3,3,3,3
77,"PRIVATE",1972,92,9,2,2,2
84,"PRIVATE",1972,92,9,2,1,3
86,"PRIVATE",1958,50,4,2,2,3
94,"PRIVATE",1958,50,4,3,3,3
98,"PRIVATE",2016,79,8,3,3,3
99,"PRIVATE",2016,79,8,3,3,3
93,"PRIVATE",1955,32,3,3,2,3
89,"PRIVATE",1955,32,3,3,1,3
90,"PRIVATE",1958,52,4,3,1,3
94,"SOCIAL HOUSING",1992,59,5,3,3,3
